id;title;entidad;codigoVia;tipoVia
"9741";"CALLE PLACIDO DOMINGO";"ZARAGOZA";"33449";"5"
"2330";"CALLE JUAN JOSE ARENAS";"ZARAGOZA";"33450";"5"
"15716";"CALLE ALFREDO KRAUS";"ZARAGOZA";"33451";"5"
"22497";"CALLE LUCIANO PAVAROTTI";"ZARAGOZA";"33452";"5"
"15224";"TRAVESIA JARDINES REALES";"ZARAGOZA";"28568";"21"
"20315";"AVENIDA ISLA DE MURANO";"ZARAGOZA";"28993";"3"
"13520";"PASEO DEL GRAN CANAL";"ZARAGOZA";"28406";"15"
"12000";"AVENIDA FRANCIA";"ZARAGOZA";"28273";"3"
"25425";"CAMINO DE LA RIBERA";"GARRAPINILLOS";"30229";"7"
"1068";"CAMINO LA ALMENARETA";"GARRAPINILLOS";"30271";"7"
"32023";"CAMINO DE TORRE DE LOS APARICIOS";"GARRAPINILLOS";"30318";"7"
"21138";"CAMINO DE LA OLMERA";"GARRAPINILLOS";"30321";"7"
"7043";"PASEO VICENTE CAZCARRA";"ZARAGOZA";"27867";"15"
"29607";"CALLE MONASTERIO SANTA MARIA DEL OLIVAR";"ZARAGOZA";"29827";"5"
"5902";"PUENTE DE LOS CANTAUTORES";"ZARAGOZA";"33453";"29"
"25027";"PLAZA REAL";"MONZALBARBA";"33454";"16"
"12683";"CALLE DR FCO JAVIER GARCIA TIRADO";"MONZALBARBA";"33455";"5"
"22690";"CALLE DR ENRIQUE-A PELAYO LAHUERTA";"MONZALBARBA";"33456";"5"
"3991";"CALLE SANTIAGO BELTRAN HILERA";"MONZALBARBA";"33457";"5"
"23445";"CALLE LA PINTORA";"MONZALBARBA";"33458";"5"
"6392";"CALLE AMBROSIO DE CASANANTE";"MONZALBARBA";"33459";"5"
"22230";"CALLE LOS PARDOS DE ARAGON";"MONZALBARBA";"33460";"5"
"31705";"CALLE TERMINO DE ALMOZARA";"MONZALBARBA";"33461";"5"
"25845";"CALLE FELIX ROMEO PESCADOR";"ZARAGOZA";"33462";"5"
"5566";"CALLE ENRIQUE CALVO";"ZARAGOZA";"33463";"5"
"20525";"CALLE JOSE LUIS NATIVIDAD CEBRIAN";"ZARAGOZA";"29007";"5"
"5750";"CAMINO DE LA CANAL";"MIRALBUENO";"27758";"7"
"15990";"CAMINO DE LANCIS";"LA CARTUJA";"33464";"7"
"16005";"CALLE LANGA DEL CASTILLO";"ZARAGOZA";"28634";"5"
"23335";"CALLE MARIANA PINEDA";"ZARAGOZA";"29252";"5"
"19435";"CAMINO MOLINO REY";"CASETAS";"28921";"7"
"22090";"CALLE PANAMA";"ZARAGOZA";"29150";"5"
"10165";"CALLE ECUADOR";"ZARAGOZA";"28112";"5"
"8750";"CALLE CUARTE";"ZARAGOZA";"28025";"5"
"8760";"CAMINO DE CUARTE";"ZARAGOZA";"28026";"7"
"24520";"CALLE PUERTO DE PALOS";"ZARAGOZA";"29348";"5"
"3950";"PLAZA DE BELEN";"ZARAGOZA";"27584";"16"
"32135";"PARQUE VICENTE TORRES GABARRUS";"SANTA ISABEL";"33465";"13"
"10965";"ANDADOR EL ESPARTIDERO";"SANTA ISABEL";"28175";"28"
"31972";"CAMINO DE LA TORRE DEL CALLEJON";"CASETAS";"33466";"7"
"420";"CALLE MONASTERIO DE ALAON";"ZARAGOZA";"27257";"5"
"25000";"AVENIDA DE RANILLAS";"ZARAGOZA";"29384";"3"
"6505";"CAMINO DE CASCAJARES";"ZARAGOZA";"33467";"7"
"2385";"CALLE ARGENTINA";"CASETAS";"33469";"5"
"32018";"CALLE DR LUIS DE LA TORRE ESTEBAN";"ZARAGOZA";"33471";"5"
"32420";"CALLE MARIANO TURMO";"ZARAGOZA";"29982";"5"
"15721";"CALLE LA CILLA";"ZARAGOZA";"33472";"5"
"13024";"CALLE GIESA";"ZARAGOZA";"33473";"5"
"19140";"CALLE MILOS";"ZARAGOZA";"33474";"5"
"15915";"CALLE LAKI";"ZARAGOZA";"33475";"5"
