id;title;zona;geometry
"13";"ZONA MARIA MOLINER (AMPLIADA)";"M";""
"1";"ZONA PLAZA SANTA CRUZ";"D";""
"2";"ZONA MANIFESTACION";"C";""
"4";"ZONA FLORENTINO BALLESTEROS";"L";""
"7";"ZONA PLAZA SAN MIGUEL";"H";""
"8";"ZONA DOCTOR CASAS-BOLONIA";"I";""
"12";"ZONA LEON XIII - PEDRO MARIA RIC";"E";""
"11";"ZONA CORONA DE ARAGON";"J";""
"9";"ZONA DOCTOR CERRADA";"F";""
"5";"ZONA DOCTOR HORNO";"K";""
"6";"ZONA ZUMALACARREGUI";"B";""
"10";"ZONA MONCASI";"A";""
"15";"ZONA AVDA. VALENCIA-GARCÍA SANCHEZ,DUQUESA VILLAHERMOSA, SANTADER";"Ñ";""
"14";"ZONA S. VICENTE PAUL - MAGDALENA";"N";""
"3";"ZONA PREDICADORES";"G";""
